revision,case,sample,B/op,allocs/op,archive-hits/op,archive-sst-bytes/op,archive-sst-reads/op,block-cache-hits/op,block-cache-misses/op,consumed/op,ns/op,overlap-max-ns,overlap-p50-ns,overlap-p95-ns,overlap-put-p50-ns,overlap-put-p95-ns,overlap-put-p99-ns,overlap-put-samples/op,overlapping-persists/op,persist-max-ns,persist-p50-ns,persist-p95-ns,persists/op,promoted/op,refresh-ms/op,refresh-ns/op,sst-bytes/op,sst-reads/op,worker-utilization,writable-hits/op,writable-sst-bytes/op,writable-sst-reads/op
before,BenchmarkService_RefreshWithPersistence/workers=1/batch=256,1,23132349.0,208241.0,,,,,,,440687763.0,19053875.0,8270042.0,16157250.0,,,,,32.0,19053875.0,8270042.0,16157250.0,32.0,,,440679167.0,,,,,,
before,BenchmarkService_RefreshWithPersistence/workers=1/batch=256,2,22505157.0,208209.0,,,,,,,393727792.0,23869917.0,7495416.0,13345959.0,,,,,32.0,23869917.0,7495416.0,13345959.0,32.0,,,393721527.0,,,,,,
before,BenchmarkService_RefreshWithPersistence/workers=1/batch=256,3,22301904.0,208188.0,,,,,,,375890166.0,17960542.0,7245291.0,11989583.0,,,,,32.0,17960542.0,7245291.0,11989583.0,32.0,,,375884097.0,,,,,,
before,BenchmarkService_RefreshWithPersistence/workers=2/batch=256,1,24818141.0,208393.0,,,,,,,323552181.0,17605834.0,7003292.0,12921792.0,,,,,32.0,17605834.0,7003292.0,12921792.0,32.0,,,323546361.0,,,,,,
before,BenchmarkService_RefreshWithPersistence/workers=2/batch=256,2,24934240.0,208366.0,,,,,,,342182223.0,14968875.0,7971541.0,11900084.0,,,,,32.0,14968875.0,7971541.0,11900084.0,32.0,,,342173500.0,,,,,,
before,BenchmarkService_RefreshWithPersistence/workers=2/batch=256,3,24881880.0,208362.0,,,,,,,367301375.0,18756000.0,7983542.0,15139625.0,,,,,32.0,18756000.0,7983542.0,15139625.0,32.0,,,367291056.0,,,,,,
before,BenchmarkService_RefreshWithPersistence/workers=4/batch=256,1,25856864.0,209953.0,,,,,,,429677167.0,36739833.0,8954917.0,18928792.0,,,,,32.0,36739833.0,8954917.0,18928792.0,32.0,,,429667569.0,,,,,,
before,BenchmarkService_RefreshWithPersistence/workers=4/batch=256,2,26127032.0,213206.0,,,,,,,349667125.0,19056000.0,7978541.0,14794875.0,,,,,32.0,19056000.0,7978541.0,14794875.0,32.0,,,349658264.0,,,,,,
before,BenchmarkService_RefreshWithPersistence/workers=4/batch=256,3,25644141.0,210411.0,,,,,,,334199709.0,18907709.0,7986416.0,13016458.0,,,,,32.0,18907709.0,7986416.0,13016458.0,32.0,,,334193570.0,,,,,,
before,BenchmarkPromotionReadAmplification/writable-hits=0/warm=false/delayed=false/workers=1,1,2401848.0,3878.0,1024.0,1094051.0,36.0,115.0,36.0,1024.0,19434875.0,,,,833.0,1333.0,18792.0,64.0,,,,,,1024.0,19.42,,1094051.0,36.0,0.9993,0.0,0.0,0.0
before,BenchmarkPromotionReadAmplification/writable-hits=0/warm=false/delayed=false/workers=1,2,2571730.0,3889.0,1024.0,1094051.0,36.0,115.0,36.0,1024.0,21353681.0,,,,834.0,1166.0,17958.0,64.0,,,,,,1024.0,21.34,,1094051.0,36.0,0.9996,0.0,0.0,0.0
before,BenchmarkPromotionReadAmplification/writable-hits=0/warm=false/delayed=false/workers=1,3,2812413.0,3899.0,1024.0,1094051.0,36.0,115.0,36.0,1024.0,20488181.0,,,,1042.0,1417.0,20833.0,64.0,,,,,,1024.0,20.48,,1094051.0,36.0,0.9994,0.0,0.0,0.0
before,BenchmarkPromotionReadAmplification/writable-hits=0/warm=false/delayed=false/workers=1,4,2995658.0,3910.0,1024.0,1094051.0,36.0,115.0,36.0,1024.0,22909097.0,,,,875.0,1250.0,18958.0,64.0,,,,,,1024.0,22.9,,1094051.0,36.0,0.9996,0.0,0.0,0.0
before,BenchmarkPromotionReadAmplification/writable-hits=0/warm=false/delayed=false/workers=1,5,2570325.0,3873.0,1024.0,1094051.0,36.0,115.0,36.0,1024.0,19899611.0,,,,1000.0,1291.0,12416.0,64.0,,,,,,1024.0,19.89,,1094051.0,36.0,0.9993,0.0,0.0,0.0
after,BenchmarkService_RefreshWithPersistence/workers=1/batch=256,1,22986306.0,208239.0,,,,,,,398150833.0,17025083.0,7928792.0,12994625.0,,,,,32.0,17025083.0,7928792.0,12994625.0,32.0,,,398144167.0,,,,,,
