revision,case,B/op,allocs/op,archive-hits/op,archive-sst-bytes/op,archive-sst-reads/op,block-cache-hits/op,block-cache-misses/op,consumed/op,ns/op,overlap-put-p50-ns,overlap-put-p95-ns,overlap-put-p99-ns,overlap-put-samples/op,promoted/op,refresh-ms/op,sst-bytes/op,sst-reads/op,worker-utilization,writable-hits/op,writable-sst-bytes/op,writable-sst-reads/op
before,writable-hits=0/warm=false/delayed=false/workers=1,2819693.0,3904.0,1024.0,1094051.0,36.0,115.0,36.0,1024.0,17623098.0,459.0,625.0,8875.0,64.0,1024.0,17.62,1094051.0,36.0,0.9997,0.0,0.0,0.0
before,writable-hits=0/warm=false/delayed=false/workers=2,4148746.0,3970.0,1024.0,1639028.0,53.67,97.33,53.67,1024.0,19545430.0,458.0,625.0,8916.0,64.0,1024.0,19.54,1639028.0,53.67,0.9974,0.0,0.0,0.0
before,writable-hits=0/warm=false/delayed=false/workers=4,4620557.0,4388.0,1024.0,2152529.0,71.33,79.67,71.33,1024.0,23971903.0,500.0,667.0,9125.0,64.0,1024.0,23.97,2152529.0,71.33,0.894,0.0,0.0,0.0
before,writable-hits=0/warm=false/delayed=true/workers=1,3164394.0,3924.0,1024.0,1094051.0,36.0,115.0,36.0,1024.0,28350584.0,541.0,792.0,9375.0,64.0,1024.0,28.34,1094051.0,36.0,0.9998,0.0,0.0,0.0
before,writable-hits=0/warm=false/delayed=true/workers=2,4742981.0,3995.0,1024.0,1639216.0,54.0,97.0,54.0,1024.0,24158195.0,583.0,833.0,13958.0,64.0,1024.0,24.15,1639216.0,54.0,0.9966,0.0,0.0,0.0
before,writable-hits=0/warm=false/delayed=true/workers=4,3830061.0,4541.0,1024.0,2761581.0,91.0,60.0,91.0,1024.0,23481083.0,542.0,875.0,14916.0,64.0,1024.0,23.47,2761581.0,91.0,0.9358,0.0,0.0,0.0
before,writable-hits=0/warm=true/delayed=false/workers=1,2974026.0,3871.0,1024.0,0.0,0.0,151.0,0.0,1024.0,20635875.0,667.0,1000.0,16458.0,64.0,1024.0,20.63,0.0,0.0,0.9996,0.0,0.0,0.0
before,writable-hits=0/warm=true/delayed=false/workers=2,4059237.0,3915.0,1024.0,0.0,0.0,151.0,0.0,1024.0,19570153.0,708.0,1167.0,20875.0,64.0,1024.0,19.56,0.0,0.0,0.9967,0.0,0.0,0.0
before,writable-hits=0/warm=true/delayed=false/workers=4,4981456.0,4155.0,1024.0,0.0,0.0,151.0,0.0,1024.0,19860055.0,500.0,834.0,16500.0,64.0,1024.0,19.85,0.0,0.0,0.8074,0.0,0.0,0.0
before,writable-hits=0/warm=true/delayed=true/workers=1,2779938.0,3855.0,1024.0,0.0,0.0,151.0,0.0,1024.0,15919513.0,583.0,792.0,11792.0,64.0,1024.0,15.91,0.0,0.0,0.9997,0.0,0.0,0.0
