revision,case,B/op,allocs/op,batches/op,cache-hits/node,cache-misses/node,compaction-read-bytes/op,compaction-write-bytes/op,flush-bytes/op,materialized-sst-bytes/op,max-batch-bytes,nodes/batch,nodes/s,ns/op,overlap-max-ns,overlap-p50-ns,overlap-p95-ns,overlapping-persists/op,persist-max-ns,persist-p50-ns,persist-p95-ns,persists/op,refresh-ns/op,wal-amp,wal-bytes/op
before,BenchmarkService_RefreshValidatedState/warm=false/workers=1/batch=256,17732261.0,191340.0,135.0,0.0,0.2736,0.0,0.0,0.0,1493530.0,133376.0,129.9,112435.0,156009583.0,,,,,,,,,,1.001,2088457.0
after,BenchmarkService_RefreshValidatedState/warm=false/workers=1/batch=256,17654978.0,191357.0,135.0,0.0,0.2736,0.0,0.0,0.0,1493530.0,133376.0,129.9,132417.0,132467473.0,,,,,,,,,,1.001,2088457.0
before,BenchmarkService_RefreshValidatedState/warm=false/workers=2/batch=256,20129749.0,191481.0,106.0,0.0,0.2886,0.0,0.0,0.0,1493715.0,133376.0,165.5,170003.0,103180375.0,,,,,,,,,,1.001,2089296.0
after,BenchmarkService_RefreshValidatedState/warm=false/workers=2/batch=256,20732376.0,191730.0,106.0,0.0,0.2886,0.0,0.0,0.0,1494138.0,133376.0,165.5,172713.0,101561792.0,,,,,,,,,,1.001,2089285.0
before,BenchmarkService_RefreshValidatedState/warm=false/workers=4/batch=256,20895984.0,194195.0,106.0,0.0,0.2886,0.0,0.0,0.0,1493692.0,133376.0,165.5,230958.0,75948750.0,,,,,,,,,,1.007,2116771.0
after,BenchmarkService_RefreshValidatedState/warm=false/workers=4/batch=256,21415050.0,199299.0,106.0,0.0,0.2886,0.0,0.0,0.0,1493453.0,133376.0,165.5,206354.0,85004541.0,,,,,,,,,,1.019,2167491.0
before,BenchmarkService_RefreshValidatedState/warm=true/workers=1/batch=256,17685370.0,190991.0,135.0,0.2736,0.0,0.0,0.0,0.0,1493530.0,133376.0,129.9,200464.0,87501805.0,,,,,,,,,,1.001,2088457.0
after,BenchmarkService_RefreshValidatedState/warm=true/workers=1/batch=256,17904720.0,191032.0,135.0,0.2736,0.0,0.0,0.0,0.0,1493530.0,133376.0,129.9,203722.0,86102834.0,,,,,,,,,,1.001,2088457.0
before,BenchmarkService_RefreshValidatedState/warm=true/workers=2/batch=256,20359789.0,191088.0,106.0,0.2886,0.0,0.0,0.0,0.0,1494014.0,133376.0,165.5,248873.0,70481652.0,,,,,,,,,,1.001,2089296.0
after,BenchmarkService_RefreshValidatedState/warm=true/workers=2/batch=256,21039978.0,191314.0,106.0,0.2886,0.0,0.0,0.0,0.0,1494050.0,133376.0,165.5,266395.0,65845750.0,,,,,,,,,,1.001,2089285.0
before,BenchmarkService_RefreshValidatedState/warm=true/workers=4/batch=256,22921866.0,218632.0,106.0,0.2886,0.0,0.0,0.0,0.0,1492251.0,133376.0,165.5,256006.0,68518000.0,,,,,,,,,,1.058,2351430.0
after,BenchmarkService_RefreshValidatedState/warm=true/workers=4/batch=256,23087968.0,224399.0,106.0,0.2886,0.0,0.0,0.0,0.0,1492324.0,133376.0,165.5,224454.0,78149723.0,,,,,,,,,,1.069,2409971.0
before,BenchmarkService_RefreshWithPersistence/workers=1/batch=256,23142098.0,208239.0,,,,,,,,,,,530251583.0,38924667.0,11152125.0,21137209.0,32.0,38924667.0,11152125.0,21137209.0,32.0,530243611.0,,
after,BenchmarkService_RefreshWithPersistence/workers=1/batch=256,22987509.0,208249.0,,,,,,,,,,,561657583.0,35985750.0,12816042.0,23859208.0,32.0,35985750.0,12816042.0,23859208.0,32.0,561650680.0,,
before,BenchmarkService_RefreshWithPersistence/workers=2/batch=256,25164656.0,208401.0,,,,,,,,,,,444443986.0,24408000.0,10855166.0,16884000.0,32.0,24408000.0,10855166.0,16884000.0,32.0,444437333.0,,
after,BenchmarkService_RefreshWithPersistence/workers=2/batch=256,25985333.0,208817.0,,,,,,,,,,,497634847.0,32723000.0,11429084.0,19092000.0,32.0,32723000.0,11429084.0,19092000.0,32.0,497626125.0,,
before,BenchmarkService_RefreshWithPersistence/workers=4/batch=256,26030098.0,212616.0,,,,,,,,,,,467633028.0,26022166.0,10109959.0,17098750.0,32.0,26022166.0,10109959.0,17098750.0,32.0,467623847.0,,
after,BenchmarkService_RefreshWithPersistence/workers=4/batch=256,26671253.0,215874.0,,,,,,,,,,,458648084.0,34092000.0,11363833.0,19745542.0,32.0,34092000.0,11363833.0,19745542.0,32.0,458637000.0,,
