revision,case,B/op,allocs/op,archive-hits/op,archive-sst-bytes/op,archive-sst-reads/op,block-cache-hits/op,block-cache-misses/op,consumed/op,ns/op,overlap-put-p50-ns,overlap-put-p95-ns,overlap-put-p99-ns,overlap-put-samples/op,promoted/op,refresh-ms/op,sst-bytes/op,sst-reads/op,worker-utilization,writable-hits/op,writable-sst-bytes/op,writable-sst-reads/op
before,writable-hits=0/warm=false/delayed=false/workers=1,2945634.0,3904.0,1024.0,1094051.0,36.0,115.0,36.0,1024.0,30379875.0,1250.0,2667.0,35291.0,64.0,1024.0,30.36,1094051.0,36.0,0.9993,0.0,0.0,0.0
before,writable-hits=0/warm=false/delayed=false/workers=2,4142208.0,3966.0,1024.0,1447003.0,48.0,103.0,48.0,1024.0,30457402.0,833.0,2625.0,17292.0,64.0,1024.0,30.44,1447003.0,48.0,0.9969,0.0,0.0,0.0
before,writable-hits=0/warm=false/delayed=false/workers=4,4562845.0,4027.0,1024.0,2088461.0,69.67,81.33,69.67,1024.0,26733542.0,625.0,1000.0,13334.0,64.0,1024.0,26.73,2088461.0,69.67,0.9519,0.0,0.0,0.0
before,writable-hits=0/warm=false/delayed=true/workers=1,3254253.0,3917.0,1024.0,1094051.0,36.0,115.0,36.0,1024.0,33578028.0,667.0,1000.0,16083.0,64.0,1024.0,33.57,1094051.0,36.0,0.9997,0.0,0.0,0.0
before,writable-hits=0/warm=false/delayed=true/workers=2,4501688.0,3988.0,1024.0,1639216.0,54.0,97.0,54.0,1024.0,28849389.0,1209.0,2000.0,29709.0,64.0,1024.0,28.84,1639216.0,54.0,0.9955,0.0,0.0,0.0
before,writable-hits=0/warm=false/delayed=true/workers=4,4854842.0,4032.0,1024.0,2740224.0,90.33,60.67,90.33,1024.0,31174111.0,1083.0,1792.0,23916.0,64.0,1024.0,31.15,2740224.0,90.33,0.9193,0.0,0.0,0.0
before,writable-hits=0/warm=true/delayed=false/workers=1,2976525.0,3866.0,1024.0,0.0,0.0,151.0,0.0,1024.0,24447681.0,1041.0,1541.0,25584.0,64.0,1024.0,24.43,0.0,0.0,0.9991,0.0,0.0,0.0
before,writable-hits=0/warm=true/delayed=false/workers=2,4170949.0,3931.0,1024.0,0.0,0.0,151.0,0.0,1024.0,25540972.0,792.0,1292.0,18917.0,64.0,1024.0,25.53,0.0,0.0,0.9965,0.0,0.0,0.0
before,writable-hits=0/warm=true/delayed=false/workers=4,4746808.0,3962.0,1024.0,0.0,0.0,151.0,0.0,1024.0,28050777.0,1083.0,1833.0,30625.0,64.0,1024.0,28.03,0.0,0.0,0.8993,0.0,0.0,0.0
before,writable-hits=0/warm=true/delayed=true/workers=1,3037626.0,3879.0,1024.0,0.0,0.0,151.0,0.0,1024.0,26130861.0,1208.0,2000.0,31625.0,64.0,1024.0,26.11,0.0,0.0,0.9992,0.0,0.0,0.0
