revision,case,B/op,allocs/op,batches/op,cache-hits/node,cache-misses/node,compaction-read-bytes/op,compaction-write-bytes/op,flush-bytes/op,materialized-sst-bytes/op,max-batch-bytes,nodes/batch,nodes/s,ns/op,overlap-max-ns,overlap-p50-ns,overlap-p95-ns,overlapping-persists/op,persist-max-ns,persist-p50-ns,persist-p95-ns,persists/op,refresh-ns/op,wal-amp,wal-bytes/op
before,BenchmarkService_RefreshValidatedState/warm=false/workers=1/batch=256,16413864.0,190908.0,135.0,0.0,0.2736,0.0,0.0,0.0,1493530.0,133376.0,129.9,121517.0,144350569.0,,,,,,,,,,1.001,2088457.0
after,BenchmarkService_RefreshValidatedState/warm=false/workers=1/batch=256,17473213.0,191323.0,135.0,0.0,0.2736,0.0,0.0,0.0,1493530.0,133376.0,129.9,138979.0,126213347.0,,,,,,,,,,1.001,2088457.0
before,BenchmarkService_RefreshValidatedState/warm=false/workers=2/batch=256,18900269.0,191102.0,106.0,0.0,0.2886,0.0,0.0,0.0,1493824.0,133376.0,165.5,128820.0,136166750.0,,,,,,,,,,1.001,2089296.0
after,BenchmarkService_RefreshValidatedState/warm=false/workers=2/batch=256,20088280.0,191477.0,106.0,0.0,0.2886,0.0,0.0,0.0,1493990.0,133376.0,165.5,175302.0,100061792.0,,,,,,,,,,1.001,2089285.0
before,BenchmarkService_RefreshValidatedState/warm=false/workers=4/batch=256,19066066.0,191189.0,106.0,0.0,0.2886,0.0,0.0,0.0,1493810.0,133376.0,165.5,167634.0,104638555.0,,,,,,,,,,1.001,2089281.0
after,BenchmarkService_RefreshValidatedState/warm=false/workers=4/batch=256,20162341.0,191547.0,106.0,0.0,0.2886,0.0,0.0,0.0,1494114.0,133376.0,165.5,282175.0,62163486.0,,,,,,,,,,1.001,2089285.0
before,BenchmarkService_RefreshValidatedState/warm=true/workers=1/batch=256,17144466.0,190583.0,135.0,0.2736,0.0,0.0,0.0,0.0,1493530.0,133376.0,129.9,161060.0,108909958.0,,,,,,,,,,1.001,2088457.0
after,BenchmarkService_RefreshValidatedState/warm=true/workers=1/batch=256,17581602.0,190990.0,135.0,0.2736,0.0,0.0,0.0,0.0,1493530.0,133376.0,129.9,235356.0,74529750.0,,,,,,,,,,1.001,2088457.0
before,BenchmarkService_RefreshValidatedState/warm=true/workers=2/batch=256,18934437.0,190678.0,106.0,0.2886,0.0,0.0,0.0,0.0,1493906.0,133376.0,165.5,168720.0,103965014.0,,,,,,,,,,1.001,2089289.0
after,BenchmarkService_RefreshValidatedState/warm=true/workers=2/batch=256,19960922.0,191016.0,106.0,0.2886,0.0,0.0,0.0,0.0,1494084.0,133376.0,165.5,279578.0,62741028.0,,,,,,,,,,1.001,2089296.0
before,BenchmarkService_RefreshValidatedState/warm=true/workers=4/batch=256,19522864.0,190763.0,106.0,0.2886,0.0,0.0,0.0,0.0,1494000.0,133376.0,165.5,200846.0,87335556.0,,,,,,,,,,1.001,2089289.0
after,BenchmarkService_RefreshValidatedState/warm=true/workers=4/batch=256,20323586.0,191133.0,106.0,0.2886,0.0,0.0,0.0,0.0,1493976.0,133376.0,165.5,185301.0,94662000.0,,,,,,,,,,1.001,2089289.0
before,BenchmarkService_RefreshWithPersistence/workers=1/batch=256,22301192.0,207858.0,,,,,,,,,,,1323276930.0,70349541.0,15898167.0,48648958.0,32.0,70349541.0,15898167.0,48648958.0,32.0,1323261222.0,,
after,BenchmarkService_RefreshWithPersistence/workers=1/batch=256,22632504.0,208236.0,,,,,,,,,,,454492264.0,21140500.0,9282792.0,16040500.0,32.0,21140500.0,9282792.0,16040500.0,32.0,454485958.0,,
before,BenchmarkService_RefreshWithPersistence/workers=2/batch=256,24214952.0,208022.0,,,,,,,,,,,858457125.0,59088459.0,20285459.0,39402083.0,32.0,59088459.0,20285459.0,39402083.0,32.0,858448597.0,,
after,BenchmarkService_RefreshWithPersistence/workers=2/batch=256,24809557.0,208347.0,,,,,,,,,,,421411083.0,19078084.0,9157500.0,17083041.0,32.0,19078084.0,9157500.0,17083041.0,32.0,421403944.0,,
before,BenchmarkService_RefreshWithPersistence/workers=4/batch=256,24389082.0,208126.0,,,,,,,,,,,448281389.0,25799875.0,8915125.0,18606458.0,32.0,25799875.0,8915125.0,18606458.0,32.0,448272306.0,,
after,BenchmarkService_RefreshWithPersistence/workers=4/batch=256,25541770.0,208524.0,,,,,,,,,,,366886402.0,20946542.0,8982250.0,15606709.0,32.0,20946542.0,8982250.0,15606709.0,32.0,366879833.0,,
